Produkt,Datum,Prodadeno,Rok
Свежо млеко 3.2% 1L,2026-08-18,3.0,2026-08-24
Јогурт 2.8% 1kg,2026-08-17,2.0,2026-08-27
К Kravjo Сирење 500g,2026-08-10,2.0,2026-09-19
Бел леб сечен 500g,2026-08-19,2.0,2026-08-22
Пилешки гради свежи 1kg,2026-08-19,1.5,2026-08-23
Јајца М класа 30/1,2026-08-15,1.0,2026-09-09
Брашно Т-400 1kg,2026-08-05,5.0,2027-02-16
Сончогледово масло 1L,2026-07-31,3.0,2027-06-16
Шеќер бел 1kg,2026-07-21,4.0,2027-08-20
Ориз бел 1kg,2026-08-10,2.0,2027-04-17
Макарони 500g,2026-08-08,4.0,2027-03-08
Јаболка Ајдаред 1kg,2026-08-16,3.0,2026-08-30
Булјон / Компир 1kg,2026-08-14,5.0,2026-09-04
Минерална вода 1.5L,2026-08-15,6.0,2027-02-16
Течен детергент за садови 900ml,2026-08-12,1.0,2028-01-02
